# k    mu    diag_Cov_Pwnw
0.0367100 0.9923000 405442.6600000
0.0368900 0.1235000 21472.6130000
0.0369000 0.8638000 133101.2800000
0.0369200 0.4933000 64674.2950000
0.0369900 0.6155000 137010.1000000
0.0369900 0.9847000 597050.7100000
0.0372700 0.3665000 102357.7000000
0.0372700 0.8552000 440042.4600000
0.0374500 0.0000000 33060.7590000
0.0374600 0.2431000 26400.1020000
0.0375500 0.7276000 299457.4600000
0.0375500 0.9701000 703525.3700000
0.0376800 0.4833000 48302.3080000
0.0378200 0.8427000 283998.4100000
0.0378200 0.9631000 334881.7900000
0.0380900 0.5976000 129012.2800000
0.0380900 0.7171000 202224.1400000
0.0383600 0.3561000 54968.0900000
0.0386300 0.2357000 110012.0500000
0.0386300 0.9428000 497260.0900000
0.0388100 0.7039000 166958.2800000
0.0389000 0.9363000 742802.4400000
0.0391700 0.4650000 101809.1000000
0.0391700 0.5812000 303784.4600000
0.0391700 0.8137000 110918.6100000
0.0391700 0.9300000 340035.3200000
0.0392200 0.1161000 42020.5540000
0.0394300 0.3465000 28955.8330000
0.0394300 0.5774000 72463.6870000
0.0394300 0.8083000 213794.1300000
0.0398200 0.6860000 102397.6900000
0.0398700 0.2284000 66253.6150000
0.0399500 0.4558000 182921.4400000
0.0399500 0.5698000 166884.3000000
0.0399500 0.9117000 211905.3800000
0.0402100 0.2265000 112414.9000000
0.0402100 0.5661000 159341.5700000
0.0402100 0.7926000 267284.7300000
0.0407200 0.8944000 698577.4900000
0.0409300 0.4450000 52881.5630000
0.0409800 0.6667000 204722.4200000
0.0409800 0.7778000 534241.7400000
0.0409800 1.0000000 4967506.7000000
0.0410600 0.1109000 51025.5630000
0.0410600 0.8871000 208830.7100000
0.0411500 0.3320000 76146.8920000
0.0412300 0.9939000 396172.3500000
0.0414800 0.3293000 111813.4300000
0.0414800 0.5488000 207497.5400000
0.0414800 0.7683000 213802.5400000
0.0414800 0.9879000 996102.5300000
0.0417300 0.4364000 104521.1000000
0.0417300 0.8729000 288761.4700000
0.0419800 0.6508000 307764.0800000
0.0421400 0.7563000 198138.4000000
0.0421400 0.9724000 290448.1400000
0.0422200 0.5392000 156385.2700000
0.0422200 0.6470000 182606.9700000
0.0423200 0.0000000 22277.8400000
0.0424100 0.2147000 21083.2040000
0.0425100 0.1071000 27802.1220000
0.0428300 0.6378000 84470.7690000
0.0429500 0.7420000 146167.9500000
0.0429500 0.9540000 610067.6800000
0.0430000 0.4235000 59231.9770000
0.0430500 0.8461000 178694.2900000
0.0431500 0.5276000 90033.7430000
0.0431900 0.3162000 59864.1440000
0.0431900 0.7379000 395925.2800000
0.0433500 0.9452000 257076.8600000
0.0439100 0.5185000 107810.7700000
0.0439100 0.8296000 366139.3100000
0.0440300 0.2068000 50496.9740000
0.0441400 0.3094000 50579.0250000
0.0441400 0.6189000 257880.5700000
0.0441400 0.7220000 199808.6100000
0.0441400 0.9283000 397998.8900000
0.0446100 0.8165000 453468.5100000
0.0446900 0.4075000 101129.3800000
0.0448400 0.5077000 331107.5100000
0.0448400 0.6092000 179786.3800000
0.0448400 0.9138000 682026.1800000
0.0450700 0.4041000 170738.4000000
0.0451500 0.1008000 69734.2150000
0.0451500 0.9076000 306920.7700000
0.0451900 0.3023000 65963.2790000
0.0451900 0.5038000 80469.8920000
0.0452300 0.8054000 195994.6200000
0.0452400 0.7044000 92920.4490000
0.0455300 1.0000000 3334887.1000000
0.0457100 0.5976000 77603.2250000
0.0457600 0.7960000 293834.6000000
0.0457600 0.8955000 389428.0000000
0.0458700 0.6948000 106713.5000000
0.0458700 0.9926000 363311.5400000
0.0460600 0.3955000 66783.2300000
0.0464300 0.5883000 201500.4000000
0.0464300 0.9806000 482413.9300000
0.0465400 0.7826000 171726.0700000
0.0466500 0.9759000 499769.6400000
0.0466900 0.1951000 14736.0760000
0.0468800 0.3885000 205455.7300000
0.0468800 0.4857000 36897.6660000
0.0469500 0.2909000 83497.0540000
0.0469600 0.8725000 125452.2400000
0.0471000 0.6767000 191970.3100000
0.0471200 0.0000000 17487.5360000
0.0473200 0.9623000 675519.0500000
0.0474600 0.0960100 13098.1740000
0.0475400 0.7663000 199464.3100000
0.0475800 0.5742000 67933.9260000
0.0476800 0.9549000 224978.9100000
0.0477500 0.4767000 37832.6540000
0.0477500 0.6674000 274712.6700000
0.0477500 0.8581000 290250.7200000
0.0478400 0.2855000 41650.9100000
0.0484000 0.7526000 416355.7800000
0.0484000 0.8466000 479304.2000000
0.0484000 0.9407000 472103.5900000
0.0485700 0.6562000 69594.8080000
0.0487200 0.4673000 82280.5230000
0.0487500 0.3736000 27275.9360000
0.0487800 0.7467000 80683.0130000
0.0489700 0.8369000 97855.3850000
0.0491400 0.2780000 56498.7940000
0.0491700 0.1852000 32143.9360000
0.0492500 0.5547000 68831.7430000
0.0492500 0.6472000 243725.3600000
0.0492500 0.7396000 267697.7800000
0.0492500 0.9245000 141825.3800000
0.0494600 0.8285000 231418.3300000
0.0495600 0.3675000 57426.6660000
0.0498800 0.9129000 366843.0100000
0.0500800 0.1818000 91655.1740000
0.0500800 0.5455000 62378.5220000
0.0501900 0.8165000 104189.4900000
0.0502900 0.2716000 78862.4380000
0.0502900 0.3621000 203865.2400000
0.0502900 0.7243000 253748.7200000
0.0503300 0.6332000 51799.3620000
0.0503600 0.4521000 98676.6030000
0.0504300 0.0902900 79297.8870000
0.0509000 0.7155000 192168.2900000
0.0509000 0.9839000 701878.9000000
0.0509900 0.8930000 84574.3590000
0.0510100 0.5356000 50863.3310000
0.0511100 0.8018000 252346.1700000
0.0511100 0.9800000 260790.7700000
0.0511900 0.4447000 34168.7080000
0.0513100 0.3550000 63149.2510000
0.0514500 0.2655000 28722.7790000
0.0516700 0.7049000 82117.3720000
0.0517100 0.8805000 314151.6300000
0.0518700 0.9948000 251466.0900000
0.0519100 0.6140000 57011.7630000
0.0519300 0.1754000 10794.1130000
0.0519600 0.9639000 105358.4000000
0.0522100 0.7849000 65149.0030000
0.0523100 0.6963000 206675.4900000
0.0523100 0.8704000 433748.1000000
0.0523600 0.0870000 9054.2147000
0.0523600 1.0000000 853677.4100000
0.0523900 0.0000000 17840.5920000
0.0524100 0.4344000 37984.5380000
0.0525100 0.5203000 86702.3280000
0.0527100 0.6047000 50861.8300000
0.0527100 0.7775000 152093.4500000
0.0527100 0.8639000 283703.7000000
0.0527100 0.9503000 309570.0400000
0.0528400 0.3447000 32414.5100000
0.0531000 0.5145000 25081.7530000
0.0532000 0.2568000 13741.3790000
0.0532300 0.8554000 132576.3500000
0.0533300 0.6830000 42436.8590000
0.0534900 0.9364000 83460.9620000
0.0535800 0.5948000 59549.1770000
0.0536800 0.7634000 193990.8500000
0.0537800 0.4234000 46651.7940000
0.0539700 0.1687000 40176.4970000
0.0539700 0.8437000 71892.2440000
0.0540600 0.5053000 44483.5990000
0.0540600 0.9264000 145754.3800000
0.0541800 0.3362000 28148.1440000
0.0542600 0.4196000 82500.7670000
0.0542600 0.7553000 134438.2300000
0.0547000 0.6659000 90588.5890000
0.0548300 0.2491000 69204.5220000
0.0548300 0.4983000 82948.0760000
0.0548300 0.7474000 271360.5200000
0.0548300 0.8305000 169170.9900000
0.0550100 0.3310000 38762.0510000
0.0550100 0.6621000 93275.7030000
0.0550100 0.7448000 93305.7690000
0.0551400 0.4129000 64656.3870000
0.0552000 0.9073000 223464.3700000
0.0554400 0.5749000 22357.1260000
0.0555100 0.0820300 15074.5410000
0.0555800 0.4915000 85485.1770000
0.0555800 0.6554000 58884.8590000
0.0555800 0.7373000 128168.7700000
0.0557600 0.8981000 134569.8600000
0.0558300 0.1631000 13789.3530000
0.0558600 0.8152000 33888.2050000
0.0561900 0.2431000 15620.5510000
0.0562300 0.3239000 38870.2670000
0.0562300 0.4049000 15934.0490000
0.0562300 0.4859000 26894.6770000
0.0562300 0.9717000 186235.3200000
0.0563200 0.8085000 104299.5100000
0.0564100 0.6457000 38725.0540000
0.0565000 0.5641000 64428.8660000
0.0565000 0.9670000 174091.7300000
0.0565400 0.7248000 53974.2950000
0.0565600 0.8855000 123290.0000000
0.0566100 0.9852000 88613.7820000
0.0569600 0.9112000 67662.3490000
0.0570500 0.9577000 137348.1400000
0.0571700 0.8760000 72003.0610000
0.0572300 0.5569000 64511.9070000
0.0572300 0.7956000 113368.1300000
0.0575100 0.4750000 28672.8310000
0.0576400 0.0000000 9364.3532000
0.0577700 0.6305000 105507.6900000
