# k    mu    diag_Cov_Pwnw
0.0594800 0.5358000 19573.1480000
0.0595000 0.3826000 5508.4385000
0.0595000 0.8418000 16866.6050000
0.0595400 0.3059000 19163.5580000
0.0595400 0.6882000 35335.0540000
0.0597700 0.2285000 21494.5890000
0.0598000 0.4568000 24362.3690000
0.0598300 0.7610000 15437.9260000
0.0598900 0.6082000 36761.4870000
0.0598900 0.8363000 37316.1990000
0.0600600 0.5307000 25405.9330000
0.0600600 0.7581000 16271.6660000
0.0600600 0.8339000 25159.4850000
0.0602300 0.1512000 12826.6130000
0.0604000 0.3015000 43715.8150000
0.0604000 0.9045000 57547.8970000
0.0605700 0.6013000 36417.8300000
0.0607400 0.3748000 14283.3950000
0.0607900 0.9737000 7790.9000000
0.0608000 0.6739000 14777.1890000
0.0608500 0.5238000 17454.2030000
0.0609200 0.8222000 24473.7030000
0.0609700 0.2240000 9300.9205000
0.0610200 0.8954000 9307.2763000
0.0611700 0.5955000 17472.9840000
0.0612500 0.7433000 12088.5540000
0.0614200 0.8154000 31952.6510000
0.0614200 0.9636000 18647.9080000
0.0614800 0.4443000 7020.2045000
0.0615000 0.6664000 8955.5583000
0.0618400 0.8835000 6572.5744000
0.0618600 0.2945000 8520.8147000
0.0619300 0.7352000 13794.2670000
0.0620100 0.5140000 19626.8590000
0.0620900 0.9532000 12349.5890000
0.0622100 0.8050000 5587.2179000
0.0622600 0.3656000 18852.9480000
0.0623600 0.5841000 10254.7970000
0.0625100 0.6555000 16289.7310000
0.0625900 0.8729000 29373.1020000
0.0625900 0.9456000 30399.7890000
0.0626800 0.7264000 12510.2560000
0.0627100 0.0726500 5079.7635000
0.0627200 0.9872000 12740.2510000
0.0627900 0.0000000 8743.2404000
0.0629200 0.4342000 19385.2280000
0.0629400 0.1447000 4850.5737000
0.0632500 0.7918000 85110.7530000
0.0633500 0.5750000 31191.7530000
0.0633800 0.8621000 9699.0154000
0.0634300 0.2154000 4529.1769000
0.0634400 0.5024000 12092.2300000
0.0634800 0.9324000 9034.8558000
0.0635000 0.7887000 11851.6610000
0.0636600 0.6437000 13440.3560000
0.0637400 1.0000000 124557.6100000
0.0638200 0.8561000 20021.5790000
0.0638600 0.3565000 9203.3071000
0.0639600 0.7119000 29132.8080000
0.0639900 0.9962000 20935.4100000
0.0640300 0.2844000 9857.5795000
0.0640700 0.4264000 16853.6250000
0.0640700 0.9239000 20975.9740000
0.0642300 0.4962000 13787.2810000
0.0644500 0.7064000 10675.4260000
0.0644700 0.5650000 20939.8200000
0.0645200 0.6352000 13039.7540000
0.0647100 0.7740000 10121.0610000
0.0647100 0.8443000 35756.0620000
0.0647600 0.9139000 21897.4040000
0.0650300 0.1400000 30347.2250000
0.0650300 0.7001000 31440.8660000
0.0653000 0.9065000 20870.9070000
0.0653500 0.7664000 16902.5740000
0.0654400 0.6262000 18399.8710000
0.0655900 0.6942000 34915.9940000
0.0656200 0.3469000 6555.2250000
0.0656200 0.4163000 9216.9173000
0.0656200 0.8326000 8439.7429000
0.0657000 0.4851000 19509.3020000
0.0658400 0.5532000 13022.8810000
0.0659000 0.8982000 20446.7630000
0.0659800 0.9661000 29067.2410000
0.0660600 0.7582000 21202.3690000
0.0662900 0.8242000 22479.3070000
0.0663500 0.2059000 5742.7077000
0.0664500 0.6167000 15574.4560000
0.0665000 0.2739000 6444.3051000
0.0666000 0.5469000 17256.8820000
0.0666700 0.9561000 15214.1950000
0.0666800 0.6828000 21564.9430000
0.0668100 0.8859000 19328.4720000
0.0671000 0.8142000 18861.3720000
0.0671000 0.9771000 13164.0000000
0.0671200 0.4748000 14616.3490000
0.0672800 0.7444000 36703.4560000
0.0673400 0.4057000 8754.2051000
0.0675000 0.6745000 15440.8150000
0.0675800 0.6064000 33881.9590000
0.0676000 0.8756000 11301.3330000
0.0676500 0.0000000 9826.8712000
0.0676900 0.9417000 38093.3530000
0.0677200 0.1345000 4126.6564000
0.0678000 0.0671900 3661.7308000
0.0678900 0.3354000 7939.2250000
0.0680200 0.5355000 27532.1000000
0.0680600 0.7359000 10696.8710000
0.0680700 0.9365000 18542.2950000
0.0681900 0.8012000 30320.5070000
0.0683000 1.0000000 375276.8700000
0.0683800 0.2664000 13307.2920000
0.0683900 0.6658000 14121.1770000
0.0684600 0.9843000 15919.4870000
0.0686000 0.4646000 15876.8180000
0.0686000 0.8628000 47956.6870000
0.0686500 0.9949000 24368.3790000
0.0686900 0.5966000 9975.5327000
0.0687500 0.7947000 12665.7410000
0.0689500 0.9245000 24140.0620000
0.0690500 0.7253000 24654.5540000
0.0692000 0.3290000 21650.9940000
