# k    mu    diag_Cov_Pwnw
0.0412300 0.9939000 1325527.5000000
0.0414800 0.3293000 410162.4700000
0.0414800 0.5488000 150922.1600000
0.0414800 0.7683000 497199.7500000
0.0414800 0.9879000 1855572.4000000
0.0417300 0.4364000 260037.9700000
0.0417300 0.8729000 468069.4900000
0.0419800 0.6508000 672007.2100000
0.0421400 0.7563000 325574.3600000
0.0421400 0.9724000 453879.4200000
0.0422200 0.5392000 508317.1000000
0.0422200 0.6470000 338463.5300000
0.0423200 0.0000000 28422.5000000
0.0424100 0.2147000 82607.1790000
0.0425100 0.1071000 68431.6150000
0.0428300 0.6378000 236528.1400000
0.0429500 0.7420000 393564.7200000
0.0429500 0.9540000 1687309.6000000
0.0430000 0.4235000 125681.7900000
0.0430500 0.8461000 169553.2700000
0.0431500 0.5276000 105396.8600000
0.0431900 0.3162000 124196.8700000
0.0431900 0.7379000 532328.7900000
0.0433500 0.9452000 524726.9200000
0.0439100 0.5185000 386845.6500000
0.0439100 0.8296000 544379.9800000
0.0440300 0.2068000 131009.1500000
0.0441400 0.3094000 153079.7500000
0.0441400 0.6189000 378822.3800000
0.0441400 0.7220000 398555.3800000
0.0441400 0.9283000 1054756.3000000
0.0446100 0.8165000 914732.1800000
0.0446900 0.4075000 188754.7200000
0.0448400 0.5077000 1037135.4000000
0.0448400 0.6092000 354832.1400000
0.0448400 0.9138000 919410.4600000
0.0450700 0.4041000 270049.4500000
0.0451500 0.1008000 160445.3100000
0.0451500 0.9076000 247190.7100000
0.0451900 0.3023000 125746.7800000
0.0451900 0.5038000 174871.7300000
0.0452300 0.8054000 332917.6900000
0.0452400 0.7044000 316042.0500000
0.0455300 1.0000000 3952511.3000000
0.0457100 0.5976000 132843.4500000
0.0457600 0.7960000 309721.6000000
0.0457600 0.8955000 799478.2600000
0.0458700 0.6948000 125926.6100000
0.0458700 0.9926000 668592.2400000
0.0460600 0.3955000 133061.1500000
0.0464300 0.5883000 436036.9200000
0.0464300 0.9806000 774598.8100000
0.0465400 0.7826000 282064.0400000
0.0466500 0.9759000 752925.3800000
0.0466900 0.1951000 33884.5510000
0.0468800 0.3885000 440809.3700000
0.0468800 0.4857000 99470.8820000
0.0469500 0.2909000 149603.5500000
0.0469600 0.8725000 192167.9500000
